No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
1630,Official Market,Delisted,SMAX,Dr. Scheller Cosmetics AG,DE0007201303,DOS,Germany,NI,,Consumer,Personal Products,yes,6/5/1999,"DZ Bank AG, Landesbank Baden-Württemberg (Lead Manager: Baden-Württembergische Bank AG)",Bookbuilding Procedure,6.80 - 8.30,7,7.1,"18,200,000.00",,"2,600,000",,,"100,000",,,,
1631,Regulated Market,Delisted,SMAX (Amtlicher Markt),elexis AG,DE0005085005,EEX,Germany,NI,,Industrial,Industrial Machinery,yes,4/5/1999,"Bayerische Hypo- und Vereinsbank AG, BHF Bank AG, Dresdner Kleinwort Wasserstein (Lead Manager: Lehman Brothers Bankhaus AG)",Bookbuilding Procedure,7.00 - 9.00,7,7,"48,097,644.00",,"6,871,092",,,"1,100,000",,,,
1632,Regulated Market,General Standard,,Sino-German United AG,DE0005801807,GEB,Germany,NI,Industrials,Industrial,"Industrial, Diversified",yes,3/5/1999,German Brokers AG,Bookbuilding Procedure,14.00 - 17.00,17,17.9,"16,031,000.00",,"943,000",,,,,,,
1633,Open Market,Delisted,Neuer Markt (Amtlicher Markt),Deufol SE,DE0005101505,DE1,Germany,NI,,Transportation & Logistics,Logistics,yes,28/04/1999,"Commerzbank AG, Landesbank Rheinland -Pfalz Girozentrale (Lead Manager: BHF Bank AG)",Bookbuilding Procedure,26.00 - 30.00,30,33,"35,700,000.00",,"1,190,000",,,"100,000","100,000",,,
1634,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),PROUT AG,DE0006943608,POU,Germany,NI,,Consumer,Leisure,yes,27/04/1999,Hauck & Aufhäuser Privatbankiers KGaA (Lead Manager: Kling),Bookbuilding Procedure,9.00 - 10.50,10.5,15,"17,603,040.00",,"1,676,480",,,"138,600","138,600",,,
1635,Regulated Market,Delisted,SMAX,KNORR CAPITAL PARTNER AG,DE0007686123,KCP2,Germany,NI,,Financial Services,Private Equity & Venture Capital,yes,26/04/1999,"Delbrück & Co. Privatbankiers, Gontard & Metallbank AG, GZ-Bank",Bookbuilding Procedure,10.50 - 12.50,12.5,20,"17,620,800.00",,"1,409,664",,,,,,,
1636,Regulated Market,Delisted,Neuer Markt,ConSors Discount-Broker AG,DE0005427009,CSO,Germany,NI,,,,yes,26/04/1999,"BancBoston Robertson Stephens International Ltd., Gontard & Metallbank AG, SchmidtBank KGaA (Lead Manager: Baden-Württembergische Bank AG)",Bookbuilding Procedure,28.00 - 33.00,33,76,"399,300,000.00",,"12,100,000",,,"1,100,000","1,100,000",,,
1637,Official Market,Delisted,SMAX,Heinkel AG,DE0006059009,HKL,Germany,NI,,,,yes,26/04/1999,"Baden-Württembergische Bank AG, Dresdner Kleinwort Wasserstein (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,4.50 - 5.50,5,5,"10,250,000.00",,"2,050,000",,,"350,000",,,,
1638,Official Market,Delisted,SMAX,TA Triumph Adler AG,DE0007495004,TWN,Germany,LI,,Industrial,Industrial Products & Services,yes,26/04/1999,Westdeutsche Landesbank Girozentrale,,,,7.2,,,,,,,,,,
1639,Regulated Market,Prime Standard,,Software AG,DE0003304002,SOW,Germany,NI,Information Technology,Software,Software,yes,26/04/1999,Lehman Brothers Bankhaus AG,Bookbuilding Procedure,30.00 - 37.00,30,29.6,"436,350,000.00",,"14,545,000",,,"2,181,750",,,,
1640,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),REALTECH AG,DE0007008906,RTC,Germany,NI,Information Technology,Software,IT-Services,yes,26/04/1999,"DG Bank AG, Westdeutsche Landesbank Girozentrale (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,49.00 - 54.00,54,66,"59,400,000.00",,"1,100,000",,,"100,000","100,000",,,
1641,Open Market,Delisted,SMAX,Zapf Creation AG,DE0007806002,ZPF,Germany,NI,,Consumer,Leisure,yes,26/04/1999,"Bayerische Landesbank Girozentrale, DZ Bank AG, Schroder, Societe Generale S.A.",Bookbuilding Procedure,18.50 - 20.50,19.65,19.65,"107,092,500.00",,"5,450,000",,,"750,000","450,000",,,
1642,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),11880 Solutions AG,DE0005118806,TGT,Germany,NI,,Telecommunication,Telecommunication Services,yes,22/04/1999,"Bankhaus Reuschel & Co., Credit Suisse First Boston, DZ Bank AG, Landesbank Sachsen Girozentrale, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Morgan Stanley Bank AG)",Bookbuilding Procedure,23.50 - 27.00,27,47,"101,628,324.00",,"3,764,012",,,"490,957","490,957",,,
1643,Regulated Market,Delisted,Neuer Markt,Rhein Biotech N.V.,NL0000230324,RBO,Netherlands,NI,,,,yes,21/04/1999,Close Brothers Markets (Lead Manager: Westdeutsche Landesbank Girozentrale),Bookbuilding Procedure,26.00 - 30.00,30,29.1,"17,982,720.00",,"599,424",,,"62,567",,,,
1644,Open Market,Quotation Board,,mwb fairtrade Wertpapierhandelsbank AG,DE0006656101,MWB,Germany,NI,,Financial Services,Securities Brokers,yes,21/04/1999,"Bankhaus Ellwanger & Geiger, M.M. Warburg & Co. KGaA, Vereins- und Westbank AG (Lead Manager: Bankgesellschaft Berlin)",Bookbuilding Procedure,52.00 - 62.00,60,60,"31,800,000.00",,"530,000",,,"90,000",,,,
1645,Regulated Market,Delisted,Neuer Markt,Brain Force Financial Solutions AG,DE0006790009,NSW,Germany,NI,,,,yes,20/04/1999,"Baden-Württembergische Bank AG, Commerzbank AG, Gontard & Metallbank AG, Westdeutsche Landesbank Girozentrale, |117 (Lead Manager: Sal. Oppenheim jr. & Cie. KGaA)",Bookbuilding Procedure,16.00 - 19.00,19,22,"100,035,000.00",,"5,265,000",,,"800,000","800,000",,,
1646,Regulated Market,General Standard,Neuer Markt,EASY SOFTWARE AG,DE0005634000,ESY,Germany,NI,,Software,IT-Services,yes,19/04/1999,"BHF Bank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: DG BANK Deutsche Genossenschaftsbank AG)",Bookbuilding Procedure,19.00 - 22.00,22,65,"25,960,000.00",,"1,180,000",,,"120,000","120,000",,,
1647,Regulated Market,Delisted,Neuer Markt,CPU Softwarehouse AG,DE0005454300,CPU,Germany,NI,,Software,Software,yes,19/04/1999,"Bayerische Landesbank Girozentrale, DZ Bank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,22.00 - 26.00,26,58,"61,230,000.00",,"2,355,000",,,"250,000","250,000",,,
1648,Open Market,Quotation Board,SMAX,Brüder Mannesmann AG,DE0005275507,BMM,Germany,LI,,Retail,"Retail, Specialty",yes,12/4/1999,Commerzbank AG,,,,9,,,,,,,,,,
1649,Regulated Market,General Standard,Neuer Markt,Odeon Film AG,DE0006853005,ODE,Germany,NI,,Media,Movies & Entertainment,yes,12/4/1999,"Bayerische Hypo- und Vereinsbank AG, Deutsche Bank AG, Commerzbank AG (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,28.00 - 32.00,32,42,"28,160,000.00",,"880,000",,,"80,000","80,000",,,
1650,Open Market,Delisted,SMAX,EHLEBRACHT AG,DE0005649131,EHL3,Germany,LI,,Industrial,"Industrial, Diversified",yes,1/4/1999, (Lead Manager: Dresdner Bank AG),,,,43,,,,,,,,,,
1651,Open Market,Delisted,SMAX,EHLEBRACHT AG,DE0005649107,EHL,Germany,LI,,Industrial,"Industrial, Diversified",yes,1/4/1999, (Lead Manager: Dresdner Bank AG),,,,47,,,,,,,,,,
1652,Official Market,Delisted,,Edscha AG,DE0005633002,EDH,Germany,NI,,,,yes,31/03/1999,"Bankgesellschaft Berlin, Commerzbank AG, HypoVereinsbank AG, Schroder Salomon Smith Barney   (Lead Manager: Dresdner Kleinwort Wasserstein, Merrill Lynch)",Bookbuilding Procedure,13.00 - 16.00,13,13,"41,802,800.00",,"3,215,600",,,"365,600",,,,
1653,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Wizcom Technologies Ltd.,IL0010830706,WZM,Israel,NI,Industrials,Technology,Electronic Components & Hardware,yes,29/03/1999,"BHF Bank AG, net.IPO AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Bank J. Vontobel & Co. AG)",Bookbuilding Procedure,10.00 - 12.00,12,17,"50,733,444.00",,"4,227,787",,,"633,559","633,559",,,
1654,Official Market,Delisted,,debitel AG,DE0005408009,DBL,Germany,NI,,,,yes,29/03/1999,"""Goldmann, Sachs & Co. OHG, J.P. Morgan Securities Ltd., Deutsche Bank AG, ABN AMRO Rothschild, Commerzbank Aktiengesellschaft,   DG BANK Deutsche Genossenschaftsbank AG,   Dresdner Bank Aktiengesellschaft, Salomon Brothers International Limited, Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien,   Landesbank Sachsen Girozentrale"" (Lead Manager: Goldmann, Sachs & Co. OHG, J.P. Morgan Securities Ltd.)",Bookbuilding Procedure,29.00 - 34.00,31,32,"551,800,000.00",,"17,800,000",,,"2,670,000",,,,
1655,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),ADVA Optical Networking SE,DE0005103006,ADV,Germany,NI,Information Technology,Technology,Communications Technology,yes,29/03/1999,"Bayerische Hypo- und Vereinsbank AG, Deutsche Bank AG (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,29.00 - 32.00,32,39,"35,200,000.00",,"1,100,000",,,"100,000","100,000",,,
1656,Regulated Market,Delisted,Neuer Markt,JUMPtec Industrielle Computertechnik AG,DE0006090608,JMP,Germany,NI,,,,yes,26/03/1999,"DZ Bank AG, Westdeutsche Landesbank Girozentrale (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,23.00 - 26.00,26,53.5,"23,400,000.00",,"900,000",,,"100,000","100,000",,,
1657,Regulated Market,Prime Standard,Amtlicher Markt,thyssenkrupp AG,DE0007500001,TKA,Germany,LI,Industrials,Industrial,"Industrial, Diversified",yes,25/03/1999,Dresdner Bank AG,,,,18,,,,,,,,,,
1658,Regulated Market,General Standard,,Vivanco Gruppe AG,DE0007602906,VVA,Germany,NI,Consumer Goods,Technology,Electronic Components & Hardware,yes,24/03/1999,Commerzbank AG,Bookbuilding Procedure,15.00 - 19.00,18,18,"45,000,000.00",,"2,500,000",,,,,,,
1659,Regulated Market,Delisted,Amtlicher Markt,SCHULER AG,DE0007210635,SCU3,Germany,NI,,Industrial,Industrial Products & Services,yes,23/03/1999,"Baden-Württembergische Bank AG, Deutsche Bank AG, Landesbank Baden-Württemberg (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,11.00 - 14.00,13,13,"78,000,000.00",,"6,000,000",,,"935,740",,,,
1660,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),Basler AG,DE0005102008,BSL,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,23/03/1999,"West LB Panmure, BHF Bank AG (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,52.00 - 57.00,57,95,"45,600,000.00",,"800,000",,,"100,000","100,000",,,
1661,Regulated Market,General Standard,Neuer Markt,MyPhotoAlbum Inc.,US34969P1021,FCT,United States,NI,,Software,Internet,yes,19/03/1999,"Deutsche Bank AG, net.IPO AG, Sal. Oppenheim jr. & Cie. KGaA, Warburg Dillon Read (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,13.00 - 15.00,15,17,"112,903,470.00",,"7,526,898",,,"981,766","981,766",,,
1662,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),Nemetschek SE,DE0006452907,NEM,Germany,NI,,Software,Software,yes,10/3/1999,"Bank J. Vontobel & Co. AG, Bayerische Hypo- und Vereinsbank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,45.00 - 52.00,52,75,"115,115,000.00",,"2,213,750",,,"288,750","288,750",,,
1663,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),MyHammer Holding AG,DE0005680300,MYR,Germany,NI,,Software,Internet,yes,10/3/1999,"Concord Effekten AG, SchmidtBank KGaA, 039, vem AG Virtuelles Emissionshaus (Lead Manager: Gontard & Metallbank AG)",Bookbuilding Procedure,19.50 - 23.00,23,106,"19,320,000.00",,"840,000",,,,,,,
1664,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Eyemaxx Real Estate AG,DE0005161004,BNT,Germany,NI,,Financial Services,Real Estate,yes,10/3/1999,BHF Bank AG (Lead Manager: Commerzbank AG),Bookbuilding Procedure,16.00 - 19.00,19,35,"53,200,000.00",,"2,800,000",,,"280,000","280,000",,,
1665,Regulated Market,Delisted,Neuer Markt,BRAIN International AG Software & Consulting,DE0005252506,BNI,Germany,NI,,,,yes,10/3/1999,"Baden-Württembergische Bank AG, Deutsche Bank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,35.00 - 42.00,42,55,"111,902,238.00",,"2,664,339",,,"260,000","260,000",,,
1666,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),MorphoSys AG,DE0006632003,MOR,Germany,NI,Pharma & Healthcare,Pharma & Healthcare,Biotechnology,yes,9/3/1999,"BancBoston Robertson Stephens International Ltd., SG Cowen (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,22.00 - 25.00,25,31,"29,626,150.00",,"1,185,046",,,"154,556","154,556",,,
1667,Regulated Market,Prime Standard,Amtlicher Markt,Amadeus Fire AG,DE0005093108,AAD,Germany,NI,,Industrial,Industrial Products & Services,yes,4/3/1999,Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: West LB Panmure),Bookbuilding Procedure,10.00 - 11.50,11.5,12,"19,354,500.00",,"1,683,000",,,"178,500","178,500",,,
1668,Regulated Market,Prime Standard,Amtlicher Markt,MVV Energie AG,DE0007255903,MVV,Germany,NI,,Utilities,Multi-Utilities,yes,2/3/1999,"Credit Suisse First Boston, DZ Bank AG, Landesbank Baden-Württemberg, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,14.00 - 16.00,16,16.1,"220,486,400.00",,"13,780,400",,,"1,100,000","1,100,000",,,
1669,Regulated Market,Delisted,Neuer Markt,i:FAO AG,DE0006224520,FAO2,Germany,NI,,Software,Software,yes,1/3/1999,Dresdner Kleinwort Wasserstein (Lead Manager: DZ Bank AG),Bookbuilding Procedure,17.00 - 21.00,21,65,"29,988,000.00",,"1,428,000",,,"150,000","150,000",,,
1670,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Medion AG,DE0006605009,MDN,Germany,NI,,Industrial,Industrial Products & Services,yes,26/02/1999,"Bayerische Hypo- und Vereinsbank AG, Commerzbank AG, Dresdner Kleinwort Wasserstein, Westdeutsche Genossenschafts-Zentrale eG (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,77.00 - 85.00,85,150,"221,000,000.00",,"2,600,000",,,"300,000","300,000",,,
1671,Official Market,General Standard,,Neschen AG,DE0005021307,NSN,Germany,NI,,Industrial,Industrial Products & Services,yes,26/02/1999,"Commerzbank AG, M.M. Warburg & Co. KGaA",Bookbuilding Procedure,11.50 - 14.50,14.5,14.6,"32,625,000.00",,"2,250,000",,,"250,000",,,,
1672,Regulated Market,Delisted,Neuer Markt,PrimaCom AG,DE0006259104,PRC,Germany,NI,,Technology,Communications Technology,yes,22/02/1999,"BNP Paribas Group, Dresdner Kleinwort Wasserstein, Landesbank Rheinland -Pfalz Girozentrale, Lehman Brothers Bankhaus AG (Lead Manager: Morgan Stanley Bank AG)",Bookbuilding Procedure,24.00 - 29.00,29,38.5,"156,136,348.00",,"5,384,012",,,"702,262","702,262",,,
1673,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),UTIMACO Safeware AG,DE0007572406,USA,Germany,NI,,Software,Software,yes,16/02/1999,"BHF Bank AG, BNP Paribas Group, Taunus Sparkasse Bad Homburg (Lead Manager: Sal. Oppenheim jr. & Cie. KGaA)",Bookbuilding Procedure,60.00 - 65.00,65,210,"46,211,035.00",,"710,939",,,"65,905","65,905",,,
1674,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),FORTEC Elektronik Aktiengesellschaft,DE0005774103,FEV,Germany,LI,,Technology,Electronic Components & Hardware,yes,16/02/1999,Bayerische Hypo- und Vereinsbank AG,Fixed Price Procedure,,20,33.5,"6,000,000.00",,"300,000",,,,,,,
1675,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Intertainment AG,DE0006223605,ITN,Germany,NI,,Media,Movies & Entertainment,yes,8/2/1999,"Baden-Württembergische Bank AG, DZ Bank AG (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,31.00 - 36.00,36,140,"70,020,000.00",,"1,945,000",,,"155,000","100,000",,,
1676,Official Market,Delisted,,Degussa AG,DE0005421903,DGX,Germany,LI,,Chemicals,"Chemicals, Speciality",yes,8/2/1999,Dresdner Bank AG,,,,36.5,,,,,,,,,,
1677,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),CineMedia Film AG,DE0005433007,CIW,Germany,NI,,Media,Movies & Entertainment,yes,3/2/1999,"Bankhaus Reuschel & Co., BHF Bank AG, Commerzbank AG (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,21.00 - 25.00,25,75,"38,750,000.00",,"1,550,000",,,"150,000","150,000",,,
1678,Open Market,Delisted,Kein / None,Vestcorp AG,DE0007449506,TFG,Germany,NI,,,,yes,3/2/1999,"Sal. Oppenheim jr. & Cie. KGaA, ABN Amro Bank (Deutschland) AG (Lead Manager: West LB Panmure)",Bookbuilding Procedure,7.00 - 8.00,8,19,"29,600,000.00",,"3,700,000",,,"250,000",,,,
1679,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Wild Bunch AG,DE0007224404,SMN,Germany,NI,Consumer Services,Media,Movies & Entertainment,yes,29/01/1999,"BNP Paribas Group, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Bayerische Landesbank Girozentrale)",Bookbuilding Procedure,35.00 - 38.00,38,135,"60,295,474.00",,"1,586,723",,,"195,000","195,000",,,
1680,Regulated Market,General Standard,Neuer Markt,TDMi AG,DE0005098008,ARX,Germany,NI,,Software,IT-Services,yes,25/01/1999,"Commerzbank, Sparkasse Aachen, West LB Panmure (Lead Manager: West LB Panmure)",Bookbuilding Procedure,12.70 - 14.70,14.7,45,"23,887,500.00",,"1,625,000",,,"250,000","250,000",,,
1681,Regulated Market,General Standard,,Heidelberger Beteiligungsholding AG,DE000A2NB502,IPO,Germany,LI,,Financial Services,Private Equity & Venture Capital,yes,22/12/1998,Deutsche Bank AG,,,,175,,,"4,800,000",,,,,,,
1682,Regulated Market,Delisted,,OAR Consulting AG,DE0006870801,OAR,Germany,NI,,,,yes,17/12/1998,Concord Effekten AG,Bookbuilding Procedure,25.00 - 28.00,28,40.5,"4,294,851.80",,"300,000",,,,,,,
1683,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),PNE AG,DE0006910326,PNE2,Germany,NI,,Industrial,Renewable Energies,yes,15/12/1998,"M.M. Warburg & Co. KGaA, UmweltBank AG (Lead Manager: Norddeutsche Landesbank Girozentrale)",Bookbuilding Procedure,42.00 - 48.00,48,66,"15,216,046.38",,"620,000",,,"60,000","60,000",,,
1684,Regulated Market,Delisted,Neuer Markt,Cybernet Internet Services International Inc.,US2325031027,CYN,United States,LI,,,,yes,9/12/1998,"Bankhaus Herrmann Lampe KG, Berliner Effektenbank AG (Lead Manager: Berliner Effektenbank AG)",Bookbuilding Procedure,38.00 - 46.00,46,62,"35,279,139.80",,"1,500,000",,,,,,,
1685,Regulated Market,Prime Standard,Geregelter Markt,Centrotec SE,DE0005407506,CEV,Germany,NI,,Industrial,Industrial Products & Services,yes,8/12/1998,"Gontard & Metallbank AG, Vereins- und Westbank AG (Lead Manager: M.M. Warburg & Co. KGaA)",Bookbuilding Procedure,69.00 - 76.00,76,135,"15,543,273.19",,"400,000",,,,,,,
1686,Official Market,Delisted,,tecis Holding AG,DE0006211600,TES,Germany,NI,,,,yes,4/12/1998,Vereins- und Westbank AG,Bookbuilding Procedure,38.00 - 44.00,44,90,"15,280,890.47",,"679,246",,,,,,,
1687,Regulated Market,Delisted,Geregelter Markt,Curanum AG,DE0005240709,BHS,Germany,NI,,Pharma & Healthcare,Health Care,yes,30/11/1998,"Bankhaus Herrmann Lampe KG, Hauck & Aufhäuser Privatbankiers KGaA (Lead Manager: GZ-Bank)",Bookbuilding Procedure,20.00 - 25.00,25,26.5,"15,338,756.44",,"1,200,000",,,,,,,
1688,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),All for One Group SE,DE0005110001,ACV,Germany,NI,,Software,IT-Services,yes,30/11/1998,"Bank J. Vontobel & Co. AG, BHF Bank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,27.00 - 30.00,30,35,"53,726,249.21",,"3,502,647",,,"318,423","318,423",,,
1689,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),LPKF Laser & Electronics AG,DE0006450000,LPK,Germany,NI,Industrials,Industrial,Advanced Industrial Equipment,yes,30/11/1998,"Commerzbank AG, Bankgesellschaft Berlin, M.M. Warburg & Co. KGaA (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,53.00 - 62.00,62,100,"16,388,949.96",,"517,000",,,"67,000","67,000",,,
1690,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),COMPUTEC MEDIA AG,DE0005441000,CMD,Germany,NI,,Media,Publishing & Printing,yes,30/11/1998,"Bayerische Hypo- und Vereinsbank AG, Dresdner Kleinwort Wasserstein, SchmidtBank KGaA  (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,26.59 - 31.70,31.7,43.97,"38,357,000.00",,"1,210,000",,,"120,000","120,000",,,
1691,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),Teleplan International N.V.,NL0000229458,TPL,Netherlands,NI,,Industrial,Industrial Products & Services,yes,23/11/1998,"Deutsche Bank AG, GZ-Bank (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,38.00 - 46.00,46,46.5,"31,751,225.82",,"1,350,000",,,"150,000","150,000",,,
1692,Regulated Market,Delisted,Neuer Markt,mb Software AG,DE0006583206,MBS,Germany,NI,,Software,Software,yes,17/11/1998,HSBC Trinkaus & Burkhardt KGaA (Lead Manager: Norddeutsche Landesbank Girozentrale),Bookbuilding Procedure,54.00 - 62.00,62,70,"22,190,067.64",,"700,000",,,"100,000","100,000",,,
1693,Regulated Market,Prime Standard,Amtlicher Markt,Daimler AG,DE0007100000,DAI,Germany,LI,Consumer Goods,Automobile,Automobile Manufacturers,yes,17/11/1998,Deutsche Bank AG,,,,142.2,,,"1,135,250,703",,,,,,,
1694,Open Market,Basic Board,Neuer Markt,CeoTronics AG,DE0005407407,CEK,Germany,NI,,Technology,Communications Technology,yes,9/11/1998,"DZ Bank AG, Bayerische Hypo- und Vereinsbank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,59.00 - 68.00,68,75,"17,036,245.48",,"490,000",,,"45,000","45,000",,,
1695,Regulated Market,General Standard,Neuer Markt,B+S Banksysteme Aktiengesellschaft,DE0001262152,DTD2,Germany,NI,,Software,Internet,yes,9/11/1998,Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Gontard & Metallbank AG),Bookbuilding Procedure,54.00 - 62.00,62,149.5,"15,695,985.85",,"495,140",,,,,,,
1696,Regulated Market,Delisted,,Herzog TELECOM AG i.I.,DE0005777700,HZT,Germany,NI,,Telecommunication,Wireless Telecommunication,yes,29/10/1998,"Kling, Jelko, Dr. Dehmel",Fixed Price Procedure,,40,38.5,"8,505,176.83",,"415,867",,,"46,630","46,630",,,
1697,Open Market,Delisted,Neuer Markt (Geregelter Markt),NTT Com Security AG,DE0005155030,AAGN,Germany,NI,,Software,Software,yes,28/10/1998,"Robert Fleming Deutschland GmbH, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Robert Fleming Deutschland GmbH)",Bookbuilding Procedure,48.00 - 58.00,58,120,"17,199,858.88",,"580,000",,,"58,000","58,000",,,
